run_id,model_id,algorithm,tuning_grid,params_selected,training_folds,boyce_mean,boyce_sd,tss_mean,tss_sd,model_path,checksum
"RUN_20260313_124521_b990","RUN_20260313_124521_b990_glm","glm",NA,NA,5,-1,NA,0.225497897519554,NA,"04_outputs/runs/RUN_20260313_124521_b990/02_models/model_glm.rds","4e11efffb030e44bc67912de6f38221a"
"RUN_20260313_124521_b990","RUN_20260313_124521_b990_rf","rf",NA,NA,5,0.5,NA,0.634781437996034,NA,"04_outputs/runs/RUN_20260313_124521_b990/02_models/model_rf.rds","65674dc0af68c3b753500d2c588165ec"
"RUN_20260313_124521_b990","RUN_20260313_124521_b990_brt","brt",NA,NA,5,1,NA,0.373990532389636,NA,"04_outputs/runs/RUN_20260313_124521_b990/02_models/model_brt.rds","cc2ece23bd443639067cab2d30331e56"
"RUN_20260313_124521_b990","RUN_20260313_124521_b990_maxent","maxent",NA,NA,5,-0.678571428571428,NA,0.217722880943508,NA,"04_outputs/runs/RUN_20260313_124521_b990/02_models/model_maxent.rds","027a36a57f8181c1dd2ff65b6f635386"
"RUN_20260315_120959_b990","RUN_20260315_120959_b990_glm","glm",NA,NA,5,NA,NA,0.445866607374399,NA,"04_outputs/runs/RUN_20260315_120959_b990/02_models/model_glm.rds","74f23fc010d4da0dcb8b83f3b657ef4e"
"RUN_20260315_120959_b990","RUN_20260315_120959_b990_rf","rf",NA,NA,5,-0.2,NA,0.411048438762726,NA,"04_outputs/runs/RUN_20260315_120959_b990/02_models/model_rf.rds","91bad1e857426c328b767f14a35f481d"
"RUN_20260315_120959_b990","RUN_20260315_120959_b990_brt","brt",NA,NA,5,1,NA,0.466947567992049,NA,"04_outputs/runs/RUN_20260315_120959_b990/02_models/model_brt.rds","bad3fca080f8d63ee49bcf72c9cdf46b"
"RUN_20260315_120959_b990","RUN_20260315_120959_b990_maxent","maxent",NA,NA,5,-0.227548989763519,NA,0.447592132260238,NA,"04_outputs/runs/RUN_20260315_120959_b990/02_models/model_maxent.rds","b78599deb267a254f896f27abb411210"
"RUN_20260315_124209_b990","RUN_20260315_124209_b990_glm","glm",NA,NA,5,NA,NA,0.445866607374399,NA,"04_outputs/runs/RUN_20260315_124209_b990/02_models/model_glm.rds","3faae21f80ce1bace16658ada94b3f41"
"RUN_20260315_124209_b990","RUN_20260315_124209_b990_rf","rf",NA,NA,5,-0.2,NA,0.411048438762726,NA,"04_outputs/runs/RUN_20260315_124209_b990/02_models/model_rf.rds","91bad1e857426c328b767f14a35f481d"
"RUN_20260315_124209_b990","RUN_20260315_124209_b990_brt","brt",NA,NA,5,1,NA,0.466947567992049,NA,"04_outputs/runs/RUN_20260315_124209_b990/02_models/model_brt.rds","b814765aebf1afa69a5266ecaf39420e"
"RUN_20260315_124209_b990","RUN_20260315_124209_b990_maxent","maxent",NA,NA,5,-0.227548989763519,NA,0.447592132260238,NA,"04_outputs/runs/RUN_20260315_124209_b990/02_models/model_maxent.rds","b78599deb267a254f896f27abb411210"
